,y_pred
664,7.536262035369873
665,7.25068473815918
666,7.66452693939209
667,4.701176166534424
668,8.169888496398926
669,7.567373275756836
670,7.444401741027832
671,7.615381717681885
672,7.914975643157959
673,7.4683732986450195
674,7.714254856109619
675,6.884018421173096
676,7.155997276306152
677,7.491446018218994
678,7.223518371582031
679,7.348921298980713
680,5.8287787437438965
681,6.03833532333374
682,7.691280841827393
683,7.1866559982299805
684,7.595571517944336
685,7.148081302642822
686,7.533028602600098
687,7.291286468505859
688,7.4357171058654785
689,6.552011013031006
690,7.1394124031066895
691,7.387554168701172
692,7.707759380340576
693,8.4512939453125
694,6.259324550628662
695,6.7148213386535645
696,7.312469959259033
697,7.662259101867676
698,7.974423408508301
699,7.052683353424072
700,6.3924760818481445
701,5.932462215423584
702,7.915149211883545
703,4.886484146118164
704,7.514754295349121
705,7.572417259216309
706,7.605933666229248
707,6.177326202392578
708,7.761537075042725
709,6.660398006439209
710,7.658730983734131
711,7.6086106300354
712,7.663463115692139
713,7.4591217041015625
714,7.443869590759277
715,7.939659118652344
716,7.422811508178711
717,5.982133865356445
718,7.193767070770264
719,7.673987865447998
720,7.254026412963867
721,6.568270206451416
722,7.652512073516846
723,7.037893295288086
724,7.63651180267334
725,6.942890644073486
726,7.423213958740234
727,7.439833164215088
728,7.662290573120117
729,7.599431037902832
730,7.440567970275879
731,6.850409030914307
732,7.449114799499512
733,7.7886505126953125
734,7.492274284362793
735,7.687103748321533
736,7.832299709320068
737,7.492576599121094
738,7.169052600860596
739,8.59774112701416
740,4.552608013153076
741,7.255690097808838
742,7.324482440948486
743,5.398046970367432
744,7.285372257232666
745,4.840209007263184
746,6.649524211883545
747,4.779393672943115
748,5.944509983062744
749,6.549393653869629
750,7.534048557281494
751,7.926868438720703
752,7.2567572593688965
753,7.846713066101074
754,6.326603412628174
755,7.587381839752197
756,7.490115642547607
757,7.272026538848877
758,7.579331398010254
759,7.74165153503418
760,7.414821624755859
761,7.6324028968811035
762,7.801693916320801
